"System"	"X"	"Y"	2271	2317	2319	2341	2367	2571	2596	2750	2765	2767	2783	2786	2821	2822	2830	2864	3025	3030	3040	3049	3050	3050	3050	3051	3052	3057	3058	3059	3059	3059	3059	3063	3067	3068	3075	3079	3081	3085	3095	3130	3135	3145
"Kikuyu"	-203.689	366.491						"RWR,Apollo Province"	"RWR,Apollo Province"	"RWR,Apollo Province"	"RWR,Apollo Province"	"RWR,Apollo Province"	"LC,Protectorate of Donegal,Coventry Province"	"LC,Protectorate of Donegal,Coventry Province"	"LC,Protectorate of Donegal,Coventry Province"	"LC,Protectorate of Donegal,Coventry Province"	"LC,Protectorate of Donegal,Coventry Province"	"LC,Protectorate of Donegal,Coventry Province"	"LC,Protectorate of Donegal,Coventry Province"	"LC,Protectorate of Donegal,Coventry Province"	"FCL,Tamar March,Blackjack Operational Area,Region 2"	"FCL,Tamar March,Blackjack Operational Area,Region 2"	"FCL,Tamar March,Blackjack Operational Area,Region 2"	"FCL,Tamar March,Blackjack Operational Area,Region 2"	"FCL,Tamar March,Blackjack Operational Area,Region 2"	"FCL,Tamar March,Blackjack Operational Area,Region 2"	"FCL,Tamar March,Pasig Operational Area,Region 1"	"LA,Tamar March,Pasig Operational Area,Region 1"	"LA,Coventry Province,Melissia Theater"	"LA,Coventry Province,Melissia Theater"	"LA,Coventry Province,Melissia Theater"	"LA,Coventry Province,Melissia Theater"	"LA,Coventry Province,Melissia Theater"	"LA,Coventry Province,Melissia Theater"	"CJF"	"CJF"	"CJF"	"CJF"	"CJF"	"CJF"	"CJF"	"CJF"	"CJF"	"CJF"
"Kilarney"	-313.607	-116.408						"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"FWL"	"DTA"	"DTA"	"DTA"	"DTA"	"DTA"	"DTA"	"FWL,Duchy of Tammarind-Abbey"
"Kilbourne"	571.776	43.643						"FS,Draconis March,Woodbine Operational Area,Region 2"	"FS,Draconis March,Woodbine Operational Area,Region 2"	"FS,Draconis March,Woodbine Operational Area,Region 2"	"FS,Draconis March,Woodbine Operational Area,Region 2"	"FS,Draconis March,Woodbine Operational Area,Region 2"	"FS,Draconis March,Woodbine Operational Area,Region 2"	"FS,Draconis March,Woodbine Operational Area,Region 2"	"FS,Draconis March,Woodbine Operational Area,Region 4"	"FS,Draconis March,Woodbine Operational Area,Region 4"	"FS,Draconis March,Woodbine Operational Area,Region 4"	"FS,Draconis March,Woodbine Operational Area,Region 4"	"FS,Draconis March,Woodbine Operational Area,Kilbourne PDZ"	"FS,Draconis March,Woodbine Operational Area,Kilbourne PDZ"	"FCF,Draconis March,Woodbine Operational Area,Kilbourne PDZ"	"FCF,Draconis March,Woodbine Operational Area,Kilbourne PDZ"	"FCF,Draconis March,Woodbine Operational Area,Kilbourne PDZ"	"FCF,Draconis March,Woodbine Operational Area,Kilbourne PDZ"	"FCF,Draconis March,Woodbine Operational Area,Kilbourne PDZ"	"FCF,Draconis March,Woodbine Operational Area,Kilbourne PDZ"	"FCF,Draconis March,Woodbine Operational Area,Kilbourne PDZ"	"FS,Draconis March,Woodbine Operational Area,Kilbourne PDZ"	"FS,Draconis March,Woodbine Operational Area,Kilbourne PDZ"	"FS,Draconis March,Woodbine Operational Area,Kilbourne PDZ"	"FS,Draconis March,Woodbine Operational Area,Kilbourne PDZ"	"FS,Draconis March,Woodbine Operational Area,Kilbourne PDZ"	"FS,Draconis March,Woodbine Operational Area,Kilbourne PDZ"	"FS,Draconis March,Woodbine Operational Area,Kilbourne PDZ"	"FS,Draconis March,Woodbine Operational Area,Kilbourne PDZ"	"FS,Draconis March,Woodbine Operational Area,Kilbourne PDZ"	"FS,Draconis March,Woodbine Operational Area,Kilbourne PDZ"	"FS,Periphery March,Woodbine Operational Area,Kilbourne PDZ"	"FS,Periphery March,Woodbine Operational Area,Kilbourne PDZ"	"FS,Periphery March,Woodbine Operational Area,Kilbourne PDZ"	"FS,Periphery March,Woodbine Operational Area,Kilbourne PDZ"	"FS,Periphery March,Woodbine Operational Area,Kilbourne PDZ"	"FS,Periphery March,Woodbine Operational Area,Kilbourne PDZ"	"FS,Periphery March,Woodbine Operational Area,Kilbourne PDZ"
"Killarney"	402.204	-203.731		"I"				"FS,Crucis March,Chirikof Operational Area,Region 1"	"FS,Crucis March,Chirikof Operational Area,Region 1"	"FS,Crucis March,Chirikof Operational Area,Region 1"	"FS,Crucis March,Chirikof Operational Area,Region 1"	"FS,Crucis March,Chirikof Operational Area,Region 1"	"FS,Crucis March,Chirikof Operational Area,Region 1"	"FS,Crucis March,Chirikof Operational Area,Region 1"	"FS,Crucis March,Chirikof Operational Area,Region 1"	"FS,Crucis March,Chirikof Operational Area,Region 1"	"FS,Crucis March,Chirikof Operational Area,Region 1"	"FS,Crucis March,Chirikof Operational Area,Region 1"	"FS,Crucis March,Chirikof Operational Area,Remagen Combat Region"	"FS,Crucis March,Chirikof Operational Area,Remagen Combat Region"	"FCF,Crucis March,Chirikof Operational Area,Remagen Combat Region"	"FCF,Crucis March,Chirikof Operational Area,Remagen Combat Region"	"FCF,Crucis March,Chirikof Operational Area,Remagen Combat Region"	"FCF,Crucis March,Chirikof Operational Area,Remagen Combat Region"	"FCF,Crucis March,Chirikof Operational Area,Remagen Combat Region"	"FCF,Crucis March,Chirikof Operational Area,Remagen Combat Region"	"FCF,Crucis March,Chirikof Operational Area,Remagen Combat Region"	"FS,Crucis March,Chirikof Operational Area,Remagen Combat Region"	"FS,Crucis March,Chirikof Operational Area,Remagen Combat Region"	"FS,Crucis March,Chirikof Operational Area,Remagen Combat Region"	"FS,Crucis March,Chirikof Operational Area,Remagen Combat Region"	"FS,Crucis March,Chirikof Operational Area,Remagen Combat Region"	"FS,Crucis March,Chirikof Operational Area,Remagen Combat Region"	"FS,Crucis March,Chirikof Operational Area,Remagen Combat Region"	"FS,Crucis March,Chirikof Operational Area,Remagen Combat Region"	"FS,Crucis March,Chirikof Operational Area,Remagen Combat Region"	"FS,Crucis March,Chirikof Operational Area,Remagen Combat Region"	"FS,Periphery March,June Operational Area,Islamabad Combat Region"	"FS,Periphery March,June Operational Area,Islamabad Combat Region"	"FS,Periphery March,June Operational Area,Islamabad Combat Region"	"FS,Periphery March,June Operational Area,Islamabad Combat Region"	"FS,Periphery March,June Operational Area,Islamabad Combat Region"	"FS,Periphery March,June Operational Area,Islamabad Combat Region"	"FS,Periphery March,June Operational Area,Islamabad Combat Region"
"Killbourn"	-5.084	13.109	"U"	"U"	"U"	"U"		"TH,Alliance Core"	"TH,Alliance Core"	"TH,Alliance Core"	"TH,Alliance Core"	"AE,Alliance Core"	"TH,Alliance Core"	"TH,Alliance Core"	"DC,Dieron Military District,Lone Star Prefecture"	"DC,Dieron Military District,Lone Star Prefecture"	"DC,Dieron Military District,Chaville Prefecture"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"
"Kilmarnock"	172.664	263.094			"AG"	"DC"	"DC"	"DC,Pesht Military District,Kagoshima Prefecture"	"DC,Pesht Military District,Kagoshima Prefecture"	"DC,Pesht Military District,Kagoshima Prefecture"	"DC,Pesht Military District,Kagoshima Prefecture"	"DC,Pesht Military District,Kagoshima Prefecture"	"DC,Pesht Military District,Kagoshima Prefecture"	"DC,Pesht Military District,Kagoshima Prefecture"	"DC,Pesht Military District,Kagoshima Prefecture"	"DC,Pesht Military District,Kagoshima Prefecture"	"DC,Pesht Military District,Kagoshima Prefecture"	"DC,Pesht Military District,Kagoshima Prefecture"	"DC,Pesht Military District,Kagoshima Prefecture"	"DC,Pesht Military District,Kagoshima Prefecture"	"DC,Pesht Military District,Kagoshima Prefecture"	"DC,Pesht Military District,Kagoshima Prefecture"	"DC,Pesht Military District,Kagoshima Prefecture"	"DC,Pesht Military District,Kagoshima Prefecture"	"DC,Pesht Military District,Kagoshima Prefecture"	"DC,Pesht Military District,Kagoshima Prefecture"	"DC,Pesht Military District,Kagoshima Prefecture"	"DC,Pesht Military District,Kagoshima Prefecture"	"DC,Pesht Military District,Kagoshima Prefecture"	"DC,Pesht Military District,Kagoshima Prefecture"	"DC,Pesht Military District,Kagoshima Prefecture"	"DC,Pesht Military District,Kagoshima Prefecture"	"DC,Pesht Military District,Kagoshima Prefecture"	"DC,Pesht Military District,Kagoshima Prefecture"	"DC,Pesht Military District,Kagoshima Prefecture"	"DC,Pesht Military District,Kagoshima Prefecture"	"DC,Pesht Military District,Kagoshima Prefecture"	"DC,Pesht Military District,Kagoshima Prefecture"	"DC,Pesht Military District,Kagoshima Prefecture"	"DC,Pesht Military District,Kagoshima Prefecture"	"DC,Pesht Military District,Kagoshima Prefecture"	"DC,Pesht Military District,Kagoshima Prefecture"	"DC,Pesht Military District,Kagoshima Prefecture"	"DC,Pesht Military District,Kagoshima Prefecture"
"Kimball"	-35.677	99.733	"I"		"FoS"	"FoS"	"LC,Federation of Skye"	"LC,Federation of Skye,Virginia Shire"	"LC,Federation of Skye,Virginia Shire"	"LC,Federation of Skye,Virginia Shire"	"LC,Federation of Skye,Virginia Shire"	"LC,Federation of Skye,Virginia Shire"	"LC,Federation of Skye,Virginia Shire"	"LC,Federation of Skye,Virginia Shire"	"LC,Federation of Skye,Virginia Shire"	"LC,Federation of Skye,Virginia Shire"	"LC,Federation of Skye,Virginia Shire"	"LC,Federation of Skye,Virginia Shire"	"DC,Dieron Military District,Kessel Prefecture"	"LC,Federation of Skye,Virginia Shire"	"FCL,Skye March,Ryde Operational Area,Region 2"	"DC,Dieron Military District,Kessel Prefecture"	"DC,Dieron Military District,Kessel Prefecture"	"DC,Dieron Military District,Kessel Prefecture"	"DC,Dieron Military District,Kessel Prefecture"	"DC,Dieron Military District,Kessel Prefecture"	"DC,Dieron Military District,Kessel Prefecture"	"DC,Dieron Military District,Kessel Prefecture"	"DC,Dieron Military District,Kessel Prefecture"	"DC,Dieron Military District,Kessel Prefecture"	"DC,Dieron Military District,Kessel Prefecture"	"DC,Dieron Military District,Kessel Prefecture"	"DC,Dieron Military District,Kessel Prefecture"	"DC,Dieron Military District,Kessel Prefecture"	"DC,Dieron Military District,Kessel Prefecture"	"DC,Dieron Military District,Kessel Prefecture"	"DC,Dieron Military District,Kessel Prefecture"	"DC,Dieron Military District,Kessel Prefecture"	"ROTS,Prefecture IX"	"ROTS,Prefecture IX"	"ROTS,Prefecture IX"	"ROTS,Prefecture IX"	"CJF"	"CJF"
"Kimi"	51.853	-410.668	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"CC,Sian Commonality,Region 13"	"CC,Sian Commonality,Region 13"	"CC,Sian Commonality,Region 13"	"CC,Sian Commonality,Region 13"	"CC,Sian Commonality,Region 13"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"
"Kinbrace"	-396.134	863.646	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"CSV"	"CSV"	"CSV"	"CSV"	"CSV"	"CSV"	"CSV"	"CSV"	"CSV"	"CSV"	"CSV"	"CSV"	"CSV"	"CSV"	"CSV"	"CSV"	"C"	"C"	"C"	"C"			
"Kingtribel"	32.592	142.444	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"LC,Tamar Pact,Camlann Shire"	"LC,Tamar Pact,Camlann Shire"	"LC,Tamar Pact,Camlann Shire"	"LC,Tamar Pact,Camlann Shire"	"LC,Tamar Pact,Camlann Shire"	"DC,Benjamin Military District,Baldur Prefecture"	"DC,Benjamin Military District,Baldur Prefecture"	"DC,Benjamin Military District,Baldur Prefecture"	"DC,Benjamin Military District,Baldur Prefecture"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"
"Kinkaid"	440.546	122.486						"OA"	"OA"	"OA,Ramora Province"	"OA,Ramora Province"	"OA,Ramora Province"	"OA,Ramora Province"	"OA,Ramora Province"	"OA,Ramora Province"	"OA,Ramora Province"	"OA,Ramora Province"	"OA,Ramora Province"	"OA,Ramora Province"	"OA,Ramora Province"	"OA,Ramora Province"	"OA,Ramora Province"	"OA,Ramora Province"	"OA,Ramora Province"	"OA,Ramora Province"	"OA,Ramora Province"	"OA,Ramora Province"	"OA,Ramora Province"	"OA,Ramora Province"	"OA,Ramora Province"	"OA,Ramora Province"	"OA,Ramora Province"	"OA,Ramora Province"	"OA,Ramora Province"	"OA,Ramora Province"	"OA,Ramora Province"	"OA,Ramora Province"	"OA,Ramora Province"	"OA,Ramora Province"	"RA"	"RA"	"RA"	"RA"	"RA"
"Kirbyville"	507.158	51.135						"FS,Draconis March,Woodbine Operational Area,Region 1"	"FS,Draconis March,Woodbine Operational Area,Region 1"	"FS,Draconis March,Woodbine Operational Area,Region 1"	"FS,Draconis March,Woodbine Operational Area,Region 1"	"FS,Draconis March,Woodbine Operational Area,Region 1"	"FS,Draconis March,Woodbine Operational Area,Region 1"	"FS,Draconis March,Woodbine Operational Area,Region 1"	"FS,Draconis March,Woodbine Operational Area,Region 3"	"FS,Draconis March,Woodbine Operational Area,Region 3"	"FS,Draconis March,Woodbine Operational Area,Region 3"	"FS,Draconis March,Woodbine Operational Area,Region 3"	"FS,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FS,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FCF,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FCF,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FCF,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FCF,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FCF,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FCF,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FCF,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FS,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FS,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FS,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FS,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FS,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FS,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FS,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FS,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FS,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FS,Draconis March,Woodbine Operational Area,Milligan PDZ"	"FS,Periphery March,Woodbine Operational Area,Woodbine PDZ"	"FS,Periphery March,Woodbine Operational Area,Woodbine PDZ"	"FS,Periphery March,Woodbine Operational Area,Woodbine PDZ"	"FS,Periphery March,Woodbine Operational Area,Woodbine PDZ"	"FS,Periphery March,Woodbine Operational Area,Woodbine PDZ"	"FS,Periphery March,Woodbine Operational Area,Woodbine PDZ"	"RA"
"Kirchbach"	-39.048	382.78	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"LC,Tamar Pact,Trellshire"	"LC,Tamar Pact,Trellshire"	"LC,Tamar Pact,Trellshire"	"LC,Tamar Pact,Trellshire"	"LC,Tamar Pact,Trellshire"	"DC,Rasalhague Military District,Radstadt Prefecture"	"DC,Rasalhague Military District,Radstadt Prefecture"	"DC,Rasalhague Military District,Radstadt Prefecture"	"DC,Rasalhague Military District,Radstadt Prefecture"	"DC,Rasalhague Military District,Kirchbach Prefecture,Minor Capital"	"LC,Tamar Pact,Trellshire"	"FRR,Rasalhague Province"	"FRR,Rasalhague Province"	"FRR,Rasalhague Province"	"FRR,Rasalhague Province"	"CWF"	"CWF"	"CWF"	"CWF"	"CWF"	"CWF"	"CWF"	"CWF"	"CWF"	"CWF"	"CWF"	"CWF"	"CHH"	"CHH"	"CHH"	"CHH"	"CHH"	"CHH"	"CHH"	"CHH"
"Kirei Na Niwa"	297.777	147.295		"AG"	"AG"	"DC"	"DC"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,Galedon Military District,Matsuida Prefecture"	"DC,New Samarkand Military District,Matsuida Prefecture"	"DC,New Samarkand Military District,Matsuida Prefecture"	"DC,New Samarkand Military District,Matsuida Prefecture"	"DC,New Samarkand Military District,Matsuida Prefecture"	"DC,New Samarkand Military District,Matsuida Prefecture"	"DC,New Samarkand Military District,Matsuida Prefecture"	"DC,New Samarkand Military District,Matsuida Prefecture"	"DC,New Samarkand Military District,Matsuida Prefecture"
"Kirin"	-23.601	1837.315	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"C"	"C"	"C"	"C"	"C"	"C"	"C"	"C"	"C"	"C"	"C"	"C"	"C"	"C"	"C"	"C"	"C"	"C"	"C"	"CHH"	"CHH"	"C"	"CCY,Faction Capital"			"C"	"C"			
"Kirkcaldy"	-96.423	127.126				"I"		"LC,Federation of Skye,Virginia Shire"	"LC,Federation of Skye,Virginia Shire"	"LC,Federation of Skye,Virginia Shire"	"LC,Federation of Skye,Virginia Shire"	"LC,Federation of Skye,Virginia Shire"	"LC,Federation of Skye,Virginia Shire"	"LC,Federation of Skye,Virginia Shire"	"LC,Federation of Skye,Virginia Shire"	"LC,Federation of Skye,Virginia Shire"	"LC,Federation of Skye,Virginia Shire"	"LC,Federation of Skye,Virginia Shire"	"LC,Federation of Skye,Virginia Shire"	"LC,Federation of Skye,Virginia Shire"	"FCL,Skye March,Ryde Operational Area,Region 2"	"FCL,Skye March,Ryde Operational Area,Region 2"	"FCL,Skye March,Ryde Operational Area,Region 2"	"FCL,Skye March,Ryde Operational Area,Region 2"	"FCL,Skye March,Ryde Operational Area,Region 2"	"FCL,Skye March,Ryde Operational Area,Region 2"	"FCL,Skye March,Ryde Operational Area,Region 2"	"LA,Skye March,Ryde Operational Area,Region 2"	"LA,Skye Province"	"LA,Skye Province"	"LA,Skye Province"	"LA,Skye Province"	"LA,Skye Province"	"LA,Skye Province"	"LA,Skye Province"	"LA,Skye Province"	"LA,Skye Province,Arcturus Archonette"	"LA,Skye Province,Arcturus Archonette"	"LA,Donegal Province"	"LC,Donegal Province"	"LC,Donegal Province"	"LC,Donegal Province"	"LC,Donegal Province"	"CJF"
"Kirkenlaard"	-159.978	-121.76	"MR"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"FWL,Marik Commonwealth"	"MCM"	"MCM"	"MSC"	"MSC"	"MSC"	"MSC"	"WE"
"Kirklin"	278.38	-67.51	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"FS,Crucis March,Markesan Operational Area,Region 2"	"FS,Crucis March,Markesan Operational Area,Region 2"	"FS,Crucis March,Markesan Operational Area,Region 2"	"FS,Crucis March,Markesan Operational Area,Region 2"	"FS,Crucis March,Markesan Operational Area,Region 2"	"FS,Crucis March,Markesan Operational Area,Region 2"	"FS,Crucis March,Markesan Operational Area,Region 2"	"FS,Crucis March,Markesan Operational Area,Region 2"	"FS,Crucis March,Markesan Operational Area,Region 2"	"FS,Crucis March,Markesan Operational Area,Kestrel Combat Region"	"FS,Crucis March,Markesan Operational Area,Kestrel Combat Region"	"FCF,Crucis March,Markesan Operational Area,Kestrel Combat Region"	"FCF,Crucis March,Markesan Operational Area,Kestrel Combat Region"	"FCF,Crucis March,Markesan Operational Area,Kestrel Combat Region"	"FCF,Crucis March,Markesan Operational Area,Kestrel Combat Region"	"FCF,Crucis March,Markesan Operational Area,Kestrel Combat Region"	"FCF,Crucis March,Markesan Operational Area,Kestrel Combat Region"	"FCF,Crucis March,Markesan Operational Area,Kestrel Combat Region"	"FS,Crucis March,Markesan Operational Area,Kestrel Combat Region"	"FS,Crucis March,Markesan Operational Area,Kestrel Combat Region"	"FS,Crucis March,Markesan Operational Area,Kestrel Combat Region"	"FS,Crucis March,Markesan Operational Area,Kestrel Combat Region"	"FS,Crucis March,Markesan Operational Area,Kestrel Combat Region"	"FS,Crucis March,Markesan Operational Area,Kestrel Combat Region"	"FS,Crucis March,Markesan Operational Area,Kestrel Combat Region"	"FS,Crucis March,Markesan Operational Area,Kestrel Combat Region"	"FS,Crucis March,Markesan Operational Area,Kestrel Combat Region"	"FS,Crucis March,Markesan Operational Area,Kestrel Combat Region"	"FS,Crucis March,Markesan Operational Area,Kestrel Combat Region"	"FS,Crucis March,Markesan Operational Area,Kestrel Combat Region"	"FS,Crucis March,Markesan Operational Area,Kestrel Combat Region"	"FS,Crucis March,Markesan Operational Area,Kestrel Combat Region"	"FS,Crucis March,Markesan Operational Area,Kestrel Combat Region"	"FS,Crucis March,Markesan Operational Area,Kestrel Combat Region"	"FS,Crucis March,Markesan Operational Area,Kestrel Combat Region"
"Kirkvåg (Toch Zu 2822+)"	64.325	-317.163	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"CC,Sian Commonality,Region 10"	"CC,Sian Commonality,Region 10"	"CC,Sian Commonality,Region 10"	"CC,Sian Commonality,Region 10"	"CC,Sian Commonality,Region 10"	"CC,Sian Commonality,Region 10"	"CC,Sian Commonality,Region 10"	"CC,Sian Commonality,Region 10"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"
"Kiruna"	125.322	411.36	"U"	"U"	"U"	"U"	"U"	"U"	"U"	"DC,Rasalhague Military District,Trondheim Prefecture"	"DC,Rasalhague Military District,Trondheim Prefecture"	"DC,Rasalhague Military District,Trondheim Prefecture"	"DC,Rasalhague Military District,Trondheim Prefecture"	"DC,Rasalhague Military District,Trondheim Prefecture"	"DC,Rasalhague Military District,Trondheim Prefecture"	"DC,Rasalhague Military District,Trondheim Prefecture"	"DC,Rasalhague Military District,Trondheim Prefecture"	"DC,Rasalhague Military District,Trondheim Prefecture"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"	"A"
"Kiserian"	285.883	-279.256	"U"	"U"				"FS,Capellan March,Taygeta Operational Area,Region 2"	"FS,Capellan March,Taygeta Operational Area,Region 2"	"FS,Capellan March,Taygeta Operational Area,Region 2"	"FS,Capellan March,Taygeta Operational Area,Region 2"	"FS,Capellan March,Taygeta Operational Area,Region 2"	"FS,Capellan March,Taygeta Operational Area,Region 2"	"FS,Capellan March,Taygeta Operational Area,Region 2"	"FS,Capellan March,Taygeta Operational Area,Region 2"	"FS,Capellan March,Taygeta Operational Area,Region 2"	"FS,Capellan March,Taygeta Operational Area,Region 2"	"FS,Capellan March,Taygeta Operational Area,Region 2"	"FS,Capellan March,Taygeta Operational Area,Warren PDZ"	"FS,Capellan March,Taygeta Operational Area,Warren PDZ"	"FCF,Capellan March,Taygeta Operational Area,Warren PDZ"	"FCF,Capellan March,Taygeta Operational Area,Warren PDZ"	"FCF,Capellan March,Taygeta Operational Area,Warren PDZ"	"FCF,Capellan March,Taygeta Operational Area,Warren PDZ"	"FCF,Capellan March,Taygeta Operational Area,Warren PDZ"	"FCF,Capellan March,Taygeta Operational Area,Warren PDZ"	"FCF,Capellan March,Taygeta Operational Area,Warren PDZ"	"FS,Capellan March,Taygeta Operational Area,Warren PDZ"	"FS,Capellan March,Taygeta Operational Area,Warren PDZ"	"FS,Capellan March,Taygeta Operational Area,Warren PDZ"	"FS,Capellan March,Taygeta Operational Area,Warren PDZ"	"FS,Capellan March,Taygeta Operational Area,Warren PDZ"	"FS,Capellan March,Taygeta Operational Area,Warren PDZ"	"FS,Capellan March,Taygeta Operational Area,Warren PDZ"	"FS,Capellan March,Taygeta Operational Area,Warren PDZ"	"FS,Capellan March,Taygeta Operational Area,Warren PDZ"	"FS,Capellan March,Taygeta Operational Area,Warren PDZ"	"FS,Periphery March,June Operational Area,Warren PDZ"	"FS,Periphery March,June Operational Area,Warren PDZ"	"FS,Periphery March,June Operational Area,Warren PDZ"	"FS,Periphery March,June Operational Area,Warren PDZ"	"FS,Periphery March,June Operational Area,Warren PDZ"	"FS,Periphery March,June Operational Area,Warren PDZ"	"FS,Periphery March,June Operational Area,Warren PDZ"
